10/04/2018	26,325	26,060	26,485	25,955	3,91M	3,15%
09/04/2018	25,520	25,740	25,945	25,060	3,50M	-0,06%
06/04/2018	25,535	26,000	26,045	25,365	4,37M	-2,15%
05/04/2018	26,095	25,250	26,240	25,250	6,36M	5,58%
04/04/2018	24,715	25,595	25,675	24,590	7,11M	-3,72%
03/04/2018	25,670	25,500	25,895	25,130	4,87M	-0,12%
29/03/2018	25,700	24,930	25,860	24,820	6,31M	4,13%
28/03/2018	24,680	24,800	24,895	24,335	6,49M	-1,93%
27/03/2018	25,165	25,500	25,725	25,110	5,27M	1,04%
26/03/2018	24,905	25,255	25,495	24,730	5,90M	-1,52%
23/03/2018	25,290	25,600	25,805	25,110	6,63M	-3,38%
22/03/2018	26,175	26,975	27,460	25,715	7,24M	-3,84%
21/03/2018	27,220	26,085	27,220	26,025	6,53M	4,09%
20/03/2018	26,150	25,685	26,265	25,685	5,36M	1,49%
19/03/2018	25,765	26,465	26,495	25,540	7,17M	-3,30%
16/03/2018	26,645	26,360	26,800	26,355	5,51M	0,76%
15/03/2018	26,445	26,345	26,615	26,230	4,40M	-0,13%
14/03/2018	26,480	26,420	26,735	26,250	5,02M	0,06%
13/03/2018	26,465	26,190	26,850	26,190	4,97M	0,99%
12/03/2018	26,205	26,230	26,435	26,085	4,56M	-0,70%
09/03/2018	26,390	26,100	26,680	26,030	6,18M	-0,64%
08/03/2018	26,560	27,050	27,145	26,285	6,32M	-1,36%
07/03/2018	26,925	26,400	27,005	26,005	7,37M	1,09%
06/03/2018	26,635	26,780	26,950	26,530	5,00M	0,59%
05/03/2018	26,480	26,500	26,950	26,145	5,67M	-0,79%
02/03/2018	26,690	27,200	27,385	26,255	10,36M	-3,70%
01/03/2018	27,715	28,110	28,330	27,625	6,59M	-1,89%
28/02/2018	28,250	28,400	28,585	28,205	3,99M	-1,64%
27/02/2018	28,720	28,680	28,795	28,480	3,18M	0,60%
26/02/2018	28,550	28,630	28,730	28,420	3,96M	1,28%
23/02/2018	28,190	28,610	28,745	28,125	2,97M	-1,23%
22/02/2018	28,540	28,210	28,650	28,000	4,53M	-0,21%
21/02/2018	28,600	28,485	28,755	28,300	4,09M	-0,81%
20/02/2018	28,835	29,020	29,170	28,650	5,37M	0,14%
19/02/2018	28,795	29,080	29,240	28,515	5,08M	1,27%
16/02/2018	28,435	28,400	28,500	27,990	5,05M	0,76%
15/02/2018	28,220	28,500	28,715	27,795	7,15M	1,29%
14/02/2018	27,860	27,590	28,125	26,965	7,49M	1,79%
13/02/2018	27,370	26,960	27,480	26,830	4,95M	2,16%
12/02/2018	26,790	27,050	27,280	26,760	6,59M	1,92%